name,nation,genre,director,actor,audits
애자,한국,"['드라마', '코미디']",['정기훈'],"['김성태', '최강희', '김영애', '소주영', '허서영', '박용제', '박윤남', '박인혁', '김시운', '최효준', '황은정', '김C', '김봉기', '정화영', '전정원', '이주호', '김C', '장영남', '신정근', '정혜선', '최일화', '이세랑']",15세이상관람가
국가대표,한국,"['드라마', '액션', '코미디']",['김용화'],"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성', '이한위', '이혜숙', '김지영', '쥬니', '황하나', '조재윤', '심영', '천주영', '도승휘', '전성빈', '오광록', '김수로', '조진웅', '김용건', '김성주', '이금희', '박정수', '손범수', '이세랑']",12세이상관람가
해운대,한국,"['액션', '드라마', '어드벤처']",['윤제균'],"['설경구', '하지원', '박중훈', '엄정화', '이민기', '강대규', '김원영', '김유빈', '신정원', '성유경', '박재홍', '황인준', '나승현', '김인호', '근휘', '김재경', '장원준', '임동우', '김정곤', '정종원', '이지애', '이태영', '최재섭', '장명갑', '지대한', '천보근', '박영수']",12세이상관람가
해리 포터와 혼혈 왕자,미국,"['어드벤처', '액션', '가족']",['데이빗 예이츠'],"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",전체관람가
트랜스포머: 패자의 역습,미국,"['SF', '액션', '어드벤처']",['마이클 베이'],"['샤이아 라보프', '메간 폭스']",12세이상관람가
거북이 달린다,한국,"['드라마', '액션', '범죄']",['이연우'],"['김윤석', '정경호', '견미리', '선우선', '서동수', '이효권', '최수현', '양현석', '김종근', '김준희', '최권', '라미란', '신정근', '이무생', '조덕제', '유하복', '차은재', '김희원', '박선준']",15세이상관람가
박물관이 살아있다 2,미국,"['어드벤처', '코미디', '액션']",['숀 레비'],"['벤 스틸러', '에이미 아담스', '로빈 윌리엄스', '행크 아자리아', '오웬 윌슨']",전체관람가
마더,한국,['드라마'],['봉준호'],"['김혜자', '원빈', '진구', '윤제문', '최재원', '전미선', '송새벽', '천우희', '정영기', '이미도', '유인수', '박태준', '오원식', '이옥주', '김홍집', '윤혜진', '임성미', '임근아', '김태환', '황영희', '한지희', '남성호', '권병길', '고규필']",청소년관람불가
터미네이터 : 미래전쟁의 시작,미국,"['SF', '액션']",['맥지'],"['크리스찬 베일', '샘 워싱턴', '문 블러드굿', '안톤 옐친']",15세이상관람가
천사와 악마,미국,"['미스터리', '범죄', '스릴러']",['론 하워드'],"['톰 행크스', '이완 맥그리거']",15세이상관람가
7급 공무원,한국,"['코미디', '액션', '드라마', '범죄']",['신태라'],"['김하늘', '강지환', '유승목', '강규영', '김민국', '강신일', '장남열', '심은혜', '박지영', '나귀화', '서정주', '천성일', '민홍남', '이상욱', '박병렬', '정경민', '이수지', '임성현', '김재훈', '김철남', '이가현', '서민경', '이정선', '김은주', '손호승', '김형범', '장영남', '리우진']",12세이상관람가
